timestamp,side,result,entry_price,exit_price,size_usd,qty,fill_pct,sl_pct,tp_pct,pnl,trailing_stop_price
2026-03-23T12:41:24.633344+00:00,YES,WIN,0.5150208043146599,1.0,70.55044763759214,136.9856,0.8819,0.1783,0.2615,66.4352,
2026-03-23T13:23:05.760409+00:00,YES,WIN,0.5050314207840578,1.0,80.1409091944841,158.685,0.9394,0.1494,0.2191,78.5441,
2026-03-23T15:52:19.125089+00:00,NO,WIN,0.5100530984253796,1.0,78.08150001282688,153.085,0.8524,0.1795,0.2632,75.0035,
2026-03-23T16:39:53.785055+00:00,NO,WIN,0.48502711477252064,1.0,83.53749593725887,172.2326,0.8559,0.2,0.2958,88.6951,
2026-03-23T18:59:42.823729+00:00,YES,WIN,0.5050512385002502,1.0,91.50453186443457,181.1787,0.874,0.1267,0.1858,89.6742,
2026-03-23T19:13:53.371262+00:00,YES,LOSS,0.5050752877127995,0.0,97.55405385991607,193.1475,0.872,0.1073,0.1574,-97.5541,
2026-03-23T21:33:19.368102+00:00,YES,WIN,0.5150575767534513,1.0,94.44372445356306,183.3654,0.9076,0.075,0.11,88.9216,
2026-03-24T03:34:21.222939+00:00,NO,SL,0.5051268486681784,0.4948006691057452,79.46973924873289,157.3263,0.9934,0.075,0.11,-1.6246,0.51
2026-03-24T05:05:29.072657+00:00,NO,SL,0.5052303975506001,0.46486248878630715,68.78749270714341,136.1507,0.8612,0.0799,0.1172,-5.4961,
2026-03-24T06:12:44.177721+00:00,YES,LOSS,0.5152408084686102,0.0,75.6635258902554,146.8508,0.9526,0.075,0.11,-75.6635,
2026-03-24T11:59:00.306162+00:00,NO,LOSS,0.5251191111999256,0.0,71.49441330930668,136.1489,0.8937,0.0869,0.1275,-71.4944,
2026-03-24T12:37:49.212281+00:00,NO,SL,0.5053930832091403,0.4674886019684548,73.74634086681962,145.9188,0.9928,0.075,0.11,-5.531,
2026-03-24T23:10:37.657721+00:00,YES,SL,0.5205891795869152,0.4765993939118209,77.33055725709113,148.5443,0.9666,0.0845,0.1239,-6.5344,
2026-03-24T23:35:00.733129+00:00,YES,WIN,0.4852223445069677,1.0,73.94816991925003,152.4006,0.9304,0.1122,0.1646,78.4524,
2026-03-25T10:20:13.637547+00:00,YES,SL,0.5201697153565126,0.48115698670477414,70.2969492442932,135.1423,0.8787,0.075,0.11,-5.2723,
2026-03-25T10:47:44.638908+00:00,YES,SL,0.5151254940439816,0.47649108199068296,71.9918544757534,139.756,0.9047,0.075,0.11,-5.3994,
2026-03-25T12:17:39.245684+00:00,NO,SL,0.5252098636454596,0.4858191238720502,76.52835229421895,145.71,0.9669,0.075,0.11,-5.7396,
2026-03-25T12:55:48.448797+00:00,NO,LOSS,0.4850998786283264,0.0,72.86445572294153,150.2051,0.926,0.075,0.11,-72.8645,
2026-03-27T11:58:52.594322+00:00,NO,WIN,0.5301282239084537,1.0,69.82336766913869,131.7103,0.9583,0.0861,0.1263,61.887,
2026-03-27T13:24:25.420603+00:00,YES,SL,0.5250771652098515,0.4828084534104584,69.16365987240818,131.7209,0.8889,0.0805,0.1181,-5.5677,
2026-03-27T17:53:23.668525+00:00,NO,LOSS,0.5051781704513542,0.0,68.51077009389826,135.617,0.8856,0.1284,0.1883,-68.5108,
2026-03-27T23:23:25.468305+00:00,YES,WIN,0.5152851061410736,1.0,68.43509618991433,132.8102,0.952,0.075,0.11,64.3751,
2026-03-27T23:45:33.324413+00:00,YES,SL,0.4955880246423318,0.45841892279415697,67.07964610480721,135.3536,0.8708,0.075,0.11,-5.031,
2026-03-28T02:19:06.219890+00:00,NO,SL,0.515218001479135,0.4765766513681999,75.95362284353627,147.4204,0.9912,0.075,0.11,-5.6965,
2026-03-28T03:43:33.994759+00:00,YES,TP,0.5105977125969805,0.5667634609826484,65.75510993457462,128.7807,0.8632,0.075,0.11,7.2331,0.59
2026-03-28T06:17:17.505238+00:00,YES,WIN,0.5058086259917259,1.0,76.70221844516792,151.6428,0.9993,0.075,0.11,74.9405,
2026-03-28T15:07:40.547661+00:00,YES,SL,0.5551539070473271,0.5135173640187777,73.01157941387953,131.5159,0.8823,0.075,0.11,-5.4759,
2026-03-28T20:59:06.503050+00:00,YES,LOSS,0.5157982458448466,0.0,74.33265307211184,144.1119,0.9031,0.075,0.11,-74.3327,
2026-03-29T00:22:18.786444+00:00,YES,SL,0.505849068600457,0.4679103884554227,70.51408593220101,139.3975,0.9234,0.075,0.11,-5.2886,
2026-03-29T00:51:43.078567+00:00,NO,LOSS,0.4953651842247957,0.0,70.01585845951038,141.3419,0.922,0.075,0.11,-70.0159,
2026-03-29T21:04:42.792023+00:00,YES,SL,0.5152505641038848,0.47660677179609345,64.85382021365399,125.8685,0.922,0.075,0.11,-4.864,
2026-03-29T22:00:33.947693+00:00,YES,LOSS,0.4856660312692926,0.0,69.54532006135882,143.1958,0.9942,0.075,0.11,-69.5453,
2026-03-29T22:41:25.537679+00:00,NO,WIN,0.5101665896246188,1.0,57.662291480401386,113.0264,0.8956,0.0898,0.1317,55.3641,
2026-03-30T00:27:36.377319+00:00,YES,WIN,0.5157126789638519,1.0,63.80792933106494,123.7277,0.9272,0.1534,0.225,59.9197,
2026-03-30T01:09:41.916869+00:00,YES,LOSS,0.5257183274309006,0.0,70.08092206795537,133.3051,0.9521,0.1413,0.2073,-70.0809,
2026-03-30T04:34:33.862663+00:00,YES,SL,0.50098,0.523013399718932,61.84535,123.4487,0.9095,0.1191,0.1746,2.72,0.5456
2026-03-30T07:45:00.415199+00:00,NO,LOSS,0.5058097584671951,0.0,62.644939418384865,123.8508,0.9183,0.0809,0.1186,-62.6449,
2026-03-30T09:33:05.902527+00:00,NO,WIN,0.4955146868661939,1.0,58.58294582735485,118.2265,0.9268,0.0844,0.1238,59.6435,
2026-03-30T10:18:47.933686+00:00,NO,SL,0.4956059662952166,0.45843551882307537,65.61554536179213,132.3946,0.9652,0.075,0.11,-4.9212,
2026-03-30T11:59:51.728782+00:00,YES,WIN,0.506,1.0,62.9125,124.333,0.9308,0.0918,0.1346,61.4205,
